Id	FunctionName	Annotation
hsa00053	Ascorbate_and_aldarate_metabolism	UGT2B15
hsa00053	Ascorbate_and_aldarate_metabolism	UGT2B17
hsa00053	Ascorbate_and_aldarate_metabolism	UGT2B28
hsa00053	Ascorbate_and_aldarate_metabolism	UGT2B4
hsa00053	Ascorbate_and_aldarate_metabolism	UGT2B7
hsa00061	Fatty_acid_biosynthesis	ACACB
hsa00061	Fatty_acid_biosynthesis	ACSBG1
hsa00061	Fatty_acid_biosynthesis	ACSBG2
hsa00061	Fatty_acid_biosynthesis	ACSF3
hsa00061	Fatty_acid_biosynthesis	ACSL1
hsa00061	Fatty_acid_biosynthesis	ACSL3
hsa00061	Fatty_acid_biosynthesis	ACSL5
hsa00061	Fatty_acid_biosynthesis	ACSL6
hsa00061	Fatty_acid_biosynthesis	CBR4
hsa00061	Fatty_acid_biosynthesis	FASN
hsa00061	Fatty_acid_biosynthesis	HSD17B8
hsa00061	Fatty_acid_biosynthesis	MCAT
hsa00061	Fatty_acid_biosynthesis	MECR
hsa00061	Fatty_acid_biosynthesis	NDUFAB1
hsa00061	Fatty_acid_biosynthesis	OLAH
hsa00061	Fatty_acid_biosynthesis	OXSM
hsa00062	Fatty_acid_elongation	ACAA2
hsa00062	Fatty_acid_elongation	ACOT1
hsa00062	Fatty_acid_elongation	ACOT2
hsa00062	Fatty_acid_elongation	ACOT4
hsa00062	Fatty_acid_elongation	ACOT7
hsa00062	Fatty_acid_elongation	ECHS1
hsa00062	Fatty_acid_elongation	ELOVL1
hsa00062	Fatty_acid_elongation	ELOVL2
hsa00062	Fatty_acid_elongation	ELOVL3
hsa00062	Fatty_acid_elongation	ELOVL4
hsa00062	Fatty_acid_elongation	ELOVL5
hsa00062	Fatty_acid_elongation	ELOVL6
hsa00062	Fatty_acid_elongation	ELOVL7
hsa00062	Fatty_acid_elongation	HADH
hsa00062	Fatty_acid_elongation	HADHA
hsa00062	Fatty_acid_elongation	HADHB
hsa00062	Fatty_acid_elongation	HSD17B12
hsa00062	Fatty_acid_elongation	MECR
hsa00062	Fatty_acid_elongation	PPT1
hsa00062	Fatty_acid_elongation	PPT2
hsa00062	Fatty_acid_elongation	PTPLA
hsa00062	Fatty_acid_elongation	PTPLAD1
hsa00062	Fatty_acid_elongation	PTPLAD2
hsa00062	Fatty_acid_elongation	PTPLB
hsa00062	Fatty_acid_elongation	TECR
hsa00062	Fatty_acid_elongation	THEM4
hsa00062	Fatty_acid_elongation	THEM5
hsa00071	Fatty_acid_degradation	ACAA1
hsa00071	Fatty_acid_degradation	ACAA2
hsa00071	Fatty_acid_degradation	ACADL
hsa00071	Fatty_acid_degradation	ACADM
hsa00071	Fatty_acid_degradation	ACADS
hsa00071	Fatty_acid_degradation	ACADSB
hsa00071	Fatty_acid_degradation	ACADVL
hsa00071	Fatty_acid_degradation	ACAT1
hsa00071	Fatty_acid_degradation	ACAT2
hsa00071	Fatty_acid_degradation	ACOX1
hsa00071	Fatty_acid_degradation	ACOX3
hsa00071	Fatty_acid_degradation	ACSBG1
hsa00071	Fatty_acid_degradation	ACSBG2
hsa00071	Fatty_acid_degradation	ACSL1
hsa00071	Fatty_acid_degradation	ACSL3
hsa00071	Fatty_acid_degradation	ACSL5
hsa00071	Fatty_acid_degradation	ACSL6
hsa00071	Fatty_acid_degradation	ADH1A
hsa00071	Fatty_acid_degradation	ADH1B
hsa00071	Fatty_acid_degradation	ADH4
hsa00071	Fatty_acid_degradation	ADH5
hsa00071	Fatty_acid_degradation	ADH6
hsa00071	Fatty_acid_degradation	ADH7
hsa00071	Fatty_acid_degradation	ALDH1B1
hsa00071	Fatty_acid_degradation	ALDH2
hsa00071	Fatty_acid_degradation	ALDH3A2
hsa00071	Fatty_acid_degradation	ALDH7A1
hsa00071	Fatty_acid_degradation	ALDH9A1
hsa00071	Fatty_acid_degradation	CPT1A
hsa00071	Fatty_acid_degradation	CPT1B
hsa00071	Fatty_acid_degradation	CPT1C
hsa00071	Fatty_acid_degradation	CPT2
hsa00071	Fatty_acid_degradation	CYP4A11
hsa00071	Fatty_acid_degradation	CYP4A22
hsa00071	Fatty_acid_degradation	ECHS1
hsa00071	Fatty_acid_degradation	ECI1
hsa00071	Fatty_acid_degradation	ECI2
hsa00071	Fatty_acid_degradation	EHHADH
hsa00071	Fatty_acid_degradation	GCDH
hsa00071	Fatty_acid_degradation	HADH
hsa00071	Fatty_acid_degradation	HADHA
hsa00071	Fatty_acid_degradation	HADHB
