id	name	feature
vip:0000005	EBV	LRP10
vip:0000005	EBV	LRP12
vip:0000005	EBV	MALL
vip:0000005	EBV	MAP2K3
vip:0000005	EBV	MAP7D1
vip:0000005	EBV	MARCKSL1
vip:0000005	EBV	MARS
vip:0000005	EBV	MAX
vip:0000005	EBV	MBOAT7
vip:0000005	EBV	MDM2
vip:0000005	EBV	MEF2B
vip:0000005	EBV	MEF2D
vip:0000005	EBV	MFSD10
vip:0000005	EBV	MGARP
vip:0000005	EBV	MGST1
vip:0000005	EBV	MICAL2
vip:0000005	EBV	MLF2
vip:0000005	EBV	MLTK
vip:0000005	EBV	MMP14
vip:0000005	EBV	MON2
vip:0000005	EBV	MPZL1
vip:0000005	EBV	MRC2
vip:0000005	EBV	MRGPRF
vip:0000005	EBV	MRPS18B
vip:0000005	EBV	MRPS22
vip:0000005	EBV	MTCH2
vip:0000005	EBV	MTHFD1L
vip:0000005	EBV	MXRA8
vip:0000005	EBV	MYH2
vip:0000005	EBV	MYLK
vip:0000005	EBV	MYO9B
vip:0000005	EBV	MYOF
vip:0000005	EBV	NAGK
vip:0000005	EBV	NAV1
vip:0000005	EBV	NCEH1
vip:0000005	EBV	NCKAP5L
vip:0000005	EBV	NDE1
vip:0000005	EBV	NDEL1
vip:0000005	EBV	NDFIP1
vip:0000005	EBV	NDUFA4
vip:0000005	EBV	NEDD4L
vip:0000005	EBV	NIPSNAP1
vip:0000005	EBV	NISCH
vip:0000005	EBV	NME1-NME2
vip:0000005	EBV	NME2
vip:0000005	EBV	NME3
vip:0000005	EBV	NOP56
vip:0000005	EBV	NOTCH2
vip:0000005	EBV	NOTCH4
vip:0000005	EBV	NPC2
vip:0000005	EBV	NPEPPS
vip:0000005	EBV	NUP62
vip:0000005	EBV	NUP93
vip:0000005	EBV	OCIAD1
vip:0000005	EBV	ORC1
vip:0000005	EBV	ORC4
vip:0000005	EBV	OSMR
vip:0000005	EBV	OSTC
vip:0000005	EBV	OSTM1
vip:0000005	EBV	P4HA1
