Id	Annotation	FunctionName
hsa00190	ATP6V1D	Oxidative_phosphorylation
hsa00190	ATP6V1E1	Oxidative_phosphorylation
hsa00190	ATP6V1E2	Oxidative_phosphorylation
hsa00190	ATP6V1F	Oxidative_phosphorylation
hsa00190	ATP6V1G1	Oxidative_phosphorylation
hsa00190	ATP6V1G2	Oxidative_phosphorylation
hsa00190	ATP6V1G3	Oxidative_phosphorylation
hsa00190	ATP6V1H	Oxidative_phosphorylation
hsa00190	COX10	Oxidative_phosphorylation
hsa00190	COX11	Oxidative_phosphorylation
hsa00190	COX15	Oxidative_phosphorylation
hsa00190	COX17	Oxidative_phosphorylation
hsa00190	COX4I1	Oxidative_phosphorylation
hsa00190	COX4I2	Oxidative_phosphorylation
hsa00190	COX5A	Oxidative_phosphorylation
hsa00190	COX5B	Oxidative_phosphorylation
hsa00190	COX6A1	Oxidative_phosphorylation
hsa00190	COX6A2	Oxidative_phosphorylation
hsa00190	COX6B1	Oxidative_phosphorylation
hsa00190	COX6B2	Oxidative_phosphorylation
hsa00190	COX6C	Oxidative_phosphorylation
hsa00190	COX7A1	Oxidative_phosphorylation
hsa00190	COX7A2	Oxidative_phosphorylation
hsa00190	COX7A2L	Oxidative_phosphorylation
hsa00190	COX7B2	Oxidative_phosphorylation
hsa00190	COX7C	Oxidative_phosphorylation
hsa00190	COX8A	Oxidative_phosphorylation
hsa00190	COX8C	Oxidative_phosphorylation
hsa00190	CYC1	Oxidative_phosphorylation
hsa00190	LHPP	Oxidative_phosphorylation
hsa00190	NDUFA10	Oxidative_phosphorylation
hsa00190	NDUFA11	Oxidative_phosphorylation
hsa00190	NDUFA12	Oxidative_phosphorylation
hsa00190	NDUFA13	Oxidative_phosphorylation
hsa00190	NDUFA2	Oxidative_phosphorylation
hsa00190	NDUFA3	Oxidative_phosphorylation
hsa00190	NDUFA4	Oxidative_phosphorylation
hsa00190	NDUFA4L2	Oxidative_phosphorylation
hsa00190	NDUFA5	Oxidative_phosphorylation
hsa00190	NDUFA6	Oxidative_phosphorylation
hsa00190	NDUFA7	Oxidative_phosphorylation
hsa00190	NDUFA8	Oxidative_phosphorylation
hsa00190	NDUFA9	Oxidative_phosphorylation
hsa00190	NDUFAB1	Oxidative_phosphorylation
hsa00190	NDUFB1	Oxidative_phosphorylation
hsa00190	NDUFB10	Oxidative_phosphorylation
hsa00190	NDUFB2	Oxidative_phosphorylation
hsa00190	NDUFB3	Oxidative_phosphorylation
hsa00190	NDUFB4	Oxidative_phosphorylation
hsa00190	NDUFB5	Oxidative_phosphorylation
hsa00190	NDUFB6	Oxidative_phosphorylation
hsa00190	NDUFB7	Oxidative_phosphorylation
hsa00190	NDUFB8	Oxidative_phosphorylation
hsa00190	NDUFB9	Oxidative_phosphorylation
hsa00190	NDUFC1	Oxidative_phosphorylation
hsa00190	NDUFC2	Oxidative_phosphorylation
hsa00190	NDUFS1	Oxidative_phosphorylation
hsa00190	NDUFS2	Oxidative_phosphorylation
hsa00190	NDUFS3	Oxidative_phosphorylation
hsa00190	NDUFS4	Oxidative_phosphorylation
hsa00190	NDUFS5	Oxidative_phosphorylation
hsa00190	NDUFS6	Oxidative_phosphorylation
hsa00190	NDUFS7	Oxidative_phosphorylation
hsa00190	NDUFS8	Oxidative_phosphorylation
hsa00190	NDUFV1	Oxidative_phosphorylation
hsa00190	NDUFV2	Oxidative_phosphorylation
hsa00190	NDUFV3	Oxidative_phosphorylation
hsa00190	PPA1	Oxidative_phosphorylation
hsa00190	PPA2	Oxidative_phosphorylation
hsa00190	SDHA	Oxidative_phosphorylation
hsa00190	SDHB	Oxidative_phosphorylation
hsa00190	SDHC	Oxidative_phosphorylation
hsa00190	TCIRG1	Oxidative_phosphorylation
